case,baseline_file,candidate_file,baseline_sha256,candidate_sha256,exact_file_match,baseline_file_bytes,candidate_file_bytes,dbu,baseline_top,candidate_top,baseline_cells,candidate_cells,baseline_top_bbox_um,candidate_top_bbox_um,baseline_top_size_um,candidate_top_size_um,layer_count_union,baseline_total_area_um2,candidate_total_area_um2,intersection_total_area_um2,only_baseline_total_area_um2,only_candidate_total_area_um2,xor_total_area_um2,total_overlap_ratio
clements_8x8,<STANDARD_GDS_DIR>/clements_8x8_comp_LiDAR_id-2.gds,<PICDB_ROOT>/build_native_release/checks/lidar_c_public_h010_full/clements_8x8_cpp.gds,5856eaad7eca0e6c9530e78e766bb8df8e010deb95c75cf9c4b5fdc4e0683148,d6c4df70866d5e8ee4d574157e95074b7c10988543ff24e705cad4972e5507e1,False,250678,175952,0.001,layout,layout,356,356,"[0.0, 437.127, 4800.0, 1200.75]","[0.0, 437.127, 4800.0, 1200.75]","[4800.0, 763.623]","[4800.0, 763.623]",8,66258.538353,66258.538353,66258.538353,0.0,0.0,0.0,1.0
multiportmmi_8x8,<STANDARD_GDS_DIR>/multiportmmi_8x8_comp_LiDAR_id-2_bak.gds,<PICDB_ROOT>/build_native_release/checks/lidar_c_public_h010_full/multiportmmi_8x8_cpp.gds,5adefac83e2c257199ac5475e654cfb2f8b54845932e8ee6f9bbdfaa95a39897,b03b2651bc8c72a694547b3004489669f5d1d06a5b58ae43f252d47442bb6ac3,False,621152,337692,0.001,layout,layout,910,830,"[0.0, 422.125, 4371.164, 1178.125]","[0.0, 422.125, 4371.164, 1178.125]","[4371.164, 756.0]","[4371.164, 756.0]",8,120777.55553,120777.542057,120774.948601,2.581054,2.510698,5.091752,0.999978471
multiportmmi_16x16,<STANDARD_GDS_DIR>/multiportmmi_16x16_comp_LiDAR_id-2_bak.gds,<PICDB_ROOT>/build_native_release/checks/lidar_c_public_h010_full/multiportmmi_16x16_cpp.gds,d0aa58e99383d2d627fc3298b09e03d7a0e323e3fecbdf567a2ff0f0d171f1df,c76bf0d159692d4ce440f229b15803484fa38e5bc3919c0f7da04924e29a2aaa,False,1055226,592780,0.001,layout,layout,1702,1609,"[0.0, 822.125, 6908.664, 2378.125]","[0.0, 822.125, 6908.664, 2378.125]","[6908.664, 1556.0]","[6908.664, 1556.0]",8,300658.574903,300658.431935,300649.195832,9.44394,9.236924,18.680864,0.999969043

