case,repetitions,baseline_route_core_mean_s,baseline_route_core_sd_s,candidate_route_core_mean_s,candidate_route_core_sd_s,route_core_delta_percent,route_core_delta_percent_ci95,route_core_speedup_x,baseline_native_flow_mean_s,candidate_native_flow_mean_s,native_flow_delta_percent,baseline_full_flow_mean_s,candidate_full_flow_mean_s,full_flow_delta_percent,full_flow_speedup_x,quality_same_repetitions,exact_gds_match_repetitions,baseline_example_gds,candidate_example_gds,baseline_example_drc,candidate_example_drc
mrr_weight_bank_16x16,3,39.142035,1.064288,41.315947,0.801139,5.553906,5.317947,0.947383,40.568538,42.839168,5.597023,137.588109,140.823726,2.351669,0.977024,0,0,<EXPERIMENT_ROOT>\runs\timing_h013_quality_ab_n3b_baseline_r1\artifacts\tier0_smoke\mrr_weight_bank_16x16_cpp.gds,<EXPERIMENT_ROOT>\runs\timing_h013_quality_ab_n3b_candidate_r1\artifacts\tier0_smoke\mrr_weight_bank_16x16_cpp.gds,<EXPERIMENT_ROOT>\runs\timing_h013_quality_ab_n3b_baseline_r1\artifacts\tier0_smoke\mrr_weight_bank_16x16_cpp_picdb_flow\cpp\db_drc_summary.txt,<EXPERIMENT_ROOT>\runs\timing_h013_quality_ab_n3b_candidate_r1\artifacts\tier0_smoke\mrr_weight_bank_16x16_cpp_picdb_flow\cpp\db_drc_summary.txt
mrr_weight_bank_8x8,3,3.251721,0.387162,3.366246,0.422241,3.52196,15.705009,0.965979,3.551426,3.69826,4.134489,41.076728,39.562955,-3.685231,1.038262,0,0,<EXPERIMENT_ROOT>\runs\timing_h013_quality_ab_n3b_baseline_r1\artifacts\tier0_smoke\mrr_weight_bank_8x8_cpp.gds,<EXPERIMENT_ROOT>\runs\timing_h013_quality_ab_n3b_candidate_r1\artifacts\tier0_smoke\mrr_weight_bank_8x8_cpp.gds,<EXPERIMENT_ROOT>\runs\timing_h013_quality_ab_n3b_baseline_r1\artifacts\tier0_smoke\mrr_weight_bank_8x8_cpp_picdb_flow\cpp\db_drc_summary.txt,<EXPERIMENT_ROOT>\runs\timing_h013_quality_ab_n3b_candidate_r1\artifacts\tier0_smoke\mrr_weight_bank_8x8_cpp_picdb_flow\cpp\db_drc_summary.txt
multiportmmi_16x16,3,106.569658,1.792069,100.13973,7.509336,-6.033545,6.254315,1.06421,107.657365,101.297497,-5.907508,219.627715,210.80254,-4.018243,1.041865,3,3,<EXPERIMENT_ROOT>\runs\timing_h013_quality_ab_n3b_baseline_r1\artifacts\tier0_smoke\multiportmmi_16x16_cpp.gds,<EXPERIMENT_ROOT>\runs\timing_h013_quality_ab_n3b_candidate_r1\artifacts\tier0_smoke\multiportmmi_16x16_cpp.gds,<EXPERIMENT_ROOT>\runs\timing_h013_quality_ab_n3b_baseline_r1\artifacts\tier0_smoke\multiportmmi_16x16_cpp_picdb_flow\cpp\db_drc_summary.txt,<EXPERIMENT_ROOT>\runs\timing_h013_quality_ab_n3b_candidate_r1\artifacts\tier0_smoke\multiportmmi_16x16_cpp_picdb_flow\cpp\db_drc_summary.txt
